title,source,publication_date,article_url,article_summary,is_adverse,adverse_category,confidence_score,reason,detection_layer,article_risk_score,score_category,score_confidence,score_source,recency_points,raw_category,raw_confidence,raw_source,raw_recency
"S&P 500, Nasdaq, Dow Futures Extend Slide As US-Iran Hormuz Tensions Flare Again, Inflation Data Stings: ORCL, DJT, SMCI, TSLA In Focus",newsable_asianetnews,2026-06-11,https://newsable.asianetnews.com/markets/s-p-500-nasdaq-dow-futures-extend-slide-as-us-iran-hormuz-tensions-flare-again-inflation-data-stings-orcl-djt-smci-tsla-in-focus-articleshow-cx35mpn,"The U.S. launched fresh strikes on Iran on Wednesday, even as the war in the Middle East has stretched over 100 days now.",False,Not Adverse,1.0,Article mentions Tesla in the context of market trends and does not describe a material negative event related to the company.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selling the future: What SpaceX IPO reveals about Elon Musk,guardian,2026-06-11,https://guardian.ng/opinion/selling-the-future-what-spacex-ipo-reveals-about-elon-musk/,The proposed stock market debut of SpaceX has revived a question that has followed Elon Musk throughout his career. Whether,False,Not Adverse,1.0,Article does not mention Tesla as the subject of a material negative event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Man shot and killed during child custody exchange in Covina,newspub_live,2026-06-11,https://newspub.live/southwest/los-angeles-ca/man-shot-and-killed-during-child-custody-exchange-in-covina/,"A man was shot and killed during a child custody exchange in Covina. On June 9, Covina police were called to a parking lot outside Home Depot at 963 W. Badillo St. just after 6 p.m. Several people had gathered at the location to facilitate a child custody exchange. During the meeting, as an argument [...] The post Man shot and killed during child custody exchange in Covina appeared first on News Pub . The post Man shot and killed during child custody exchange in Covina appeared first on News Pub .",False,Not Adverse,1.0,Article does not mention Tesla,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Francisco Voters Reject Tax Hike on High-CEO-Pay Firms,sedaily,2026-06-11,https://en.sedaily.com/international/2026/06/11/san-francisco-voters-reject-tax-hike-on-high-ceo-pay-firms,"San Francisco voters rejected a tax hike on companies with high-paid CEOs by 53.64% to 46.36%, amid concerns over job losses and businesses leaving the city.",False,Not Adverse,1.0,Article does not mention Tesla as the subject of a material negative event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He loaned Elon Musk $1 million in a crisis; now SpaceX could make him one of the world’s richest people,economictimes_indiatimes,2026-06-11,https://economictimes.indiatimes.com/news/international/canada/he-loaned-elon-musk-1-million-in-a-crisis-now-spacex-could-make-him-one-of-the-worlds-richest-people/articleshow/131654470.cms,"Antonio Gracias, a close friend and early investor in Elon Musk's ventures, is poised for a massive payday as SpaceX prepares for its IPO. Gracias's firm, Valor Equity Partners, holds a significant stake in SpaceX, valued at approximately $65 billion, reflecting over two decades of unwavering support and hands-on involvement, even during the companies' most challenging periods.",False,Not Adverse,1.0,Article discusses potential financial gain for an investor and does not describe a material negative event related to Tesla.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"In the US, Cars Need Visas Too",cleantechnica,2026-06-11,https://cleantechnica.com/2026/06/10/in-the-us-cars-need-visas-too/,"Imagine this scene: The line at the border stretched for miles. Cars idled nervously, their engines humming like anxious hearts. Above the checkpoint, a new sign gleamed in bureaucratic glory: “Protecting America from Chinese Cars Act — Effective Immediately.” A customs officer stood behind a glass booth, stamping passports and ... [continued] The post In the US, Cars Need Visas Too appeared first on CleanTechnica .",False,Not Adverse,1.0,Article does not describe a material negative event related to Tesla,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The SpaceX IPO Is Days Away: Could the Stock Join the S&P 500, and How Soon?",fool,2026-06-11,https://www.fool.com/investing/2026/06/10/the-spacex-ipo-is-days-away-could-the-stock-join-t/,Index fund buying could one day become a powerful force behind the rocket maker's stock. But some of the index's oldest rules stand in the way.,False,Not Adverse,1.0,"Article does not mention Tesla, it talks about SpaceX IPO",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Reasons Tesla Stock Is So Volatile This Week - Barron's,Barron's,2026-06-10,https://news.google.com/rss/articles/CBMic0FVX3lxTFBBdm9zMTBkY3J4VlJwbUJERTJzQ3AyNF8wV1ZMV0xtbUlHMTZrZlpET2xTN01lV2pTa3ZRekJSS0RCNG9QNm95UUVvM3pHQjNNSVVycXhfMTBLUFJEdExsd1RKRks1MGhva1EtR3FPbzhwUWs?oc=5,3 Reasons Tesla Stock Is So Volatile This Week&nbsp;&nbsp;Barron's,False,Not Adverse,1.0,"Article discusses stock volatility due to analyst commentary and market competition, which is not a material adverse event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everyone wants a piece of Tesla’s battery business - TechCrunch,TechCrunch,2026-06-10,https://news.google.com/rss/articles/CBMijAFBVV95cUxQYm5jUm9Ka0ladGNzbzRkUGQ0NkxMNGY4dnNJRk05OWJpMFZLR21Qd25KbDBBOTVVU0dXWUZGYUFnQVcwVTgxTlhDNHA1WUdGdTJJeVZNQ1lqV1E5MHJRS1pnQl9wYko5NVUtbVA4T1d3aVVEWVMtTUZURnNRSkk0dk5YLTNtWk5HZ2ptOA?oc=5,Everyone wants a piece of Tesla’s battery business&nbsp;&nbsp;TechCrunch,False,Not Adverse,1.0,Article discusses market interest in Tesla's battery business without mentioning any negative events or risks.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rivian’s Charging Network Is 4% of Tesla’s. Here’s RJ Scaringe’s Plan to Change That - The Drive,The Drive,2026-06-10,https://news.google.com/rss/articles/CBMirAFBVV95cUxQSUlJdzI4YXRWd2RXbG5TcGZVUXpTU2RrMnE5Vl8yVm9NNl9uRTBoVWJLUzhKS2ZjMnBVek5DYXp0MXhQWTBQVU9qUU81bVF3U3RieG12TjljTTJxSDFGOWlnSGd1WFhfT0xhNmJuUmsxemNjTllVWngzNTJONHNIcGlUbFp4WTVJd0JlTy1uOUR5eDNlVUNURmt0d1J3aEk1X0xZMjJEYWsxNjg3?oc=5,Rivian’s Charging Network Is 4% of Tesla’s. Here’s RJ Scaringe’s Plan to Change That&nbsp;&nbsp;The Drive,False,Not Adverse,1.0,"Article discusses competitor comparison and future plans, no material negative event related to Tesla",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tesla FSD gets approval in its fifth European market - Sherwood News,Sherwood News,2026-06-10,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNVk1EVV90cE5NSEZfOHBRTWdNUUFzZzdMR05oeGQ4VUVaM0JQeW9mekhQaWZFV3BIYW1PVjJGYmV0cUYyR0haNHZGVzJ2Qjl4cWdhLXhkNFFLR1pySnNEc011UEFYaE1Pblh6OWFHX1FCT1JDSnp3S3ozTEZjbUhqTHpMQVNjWlZ0ZGZF?oc=5,Tesla FSD gets approval in its fifth European market&nbsp;&nbsp;Sherwood News,False,Not Adverse,1.0,Regulatory approval is a positive event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This Tesla bull makes a bold claim: The company has solved the ‘self-driving puzzle’ - MarketWatch,MarketWatch,2026-06-10,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSUx1Ny0tSTJqRncxZ1k1eUU4REFHQTYyREppSGhYektqWWRhYzhtU3NXSWoydGlBbDZneHA2SGRaamcxWDJacGZRTXJ0VEVfaDd4bFIwOEhGU3RZRllFb1h0SWRYaEp0YmJXa05FSDA3UjJWeW9wNkhuZkNORU82clFucGI0UXNWY05lRG5nRXIzbWM4ZHJ0OWRrcWJZVHF0SzQ4V3czVkl4NFpaMlB5a0MyTm9nWFVjM2ZQTWhBUzIydw?oc=5,This Tesla bull makes a bold claim: The company has solved the ‘self-driving puzzle’&nbsp;&nbsp;MarketWatch,False,Not Adverse,1.0,Article discusses an analyst's opinion and does not describe a material negative event.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tesla gets go-ahead to sell self-driving technology in Belgium - Reuters,Reuters,2026-06-10,https://news.google.com/rss/articles/CBMivwFBVV95cUxPSVJ4LWhRc3l3V3UzNmtRemRvaGktaS1fZ3NEZ3FuMmlNM05IalRLRkUweTNMeHNnUTNLWFhiSlczblpPZEk2aVhmWHpCRk1PQkdsbkE5b01rMlRGaDhwNjJkbS16U3ZzVXBXRGtCUDhBOHhBSE9JUi10VjZCVHVBQXpiRFlQUERpclBUMjhhY242Sk42WUIzZ1lOZXp0ME53OVozcklQNnpmQVBwcnpZVG4tVDBib0tZbFFja29KZw?oc=5,Tesla gets go-ahead to sell self-driving technology in Belgium&nbsp;&nbsp;Reuters,False,Not Adverse,1.0,Regulatory approval is a positive event,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYD’s 5-Minute Flash Chargers Could Make Tesla Look Slow And Expensive - Autoblog,Autoblog,2026-06-10,https://news.google.com/rss/articles/CBMioAFBVV95cUxPMi0xODFnOXl0b29aamViTUhfNmUzX0QwVmxnRzlmNnNUUGM4Szk5NUxGc0pQcmlEZHoySTVBb3FWb2dLSDJzb3NQbEpLNHVQQVVqWW9zVDFjQk1sS3hDcUE4cXVjeWpxcWZIY1NSeDRmcDhVTXBDYXlSWTFnNUY5bk5oOWROQnJQZnBONmFLSWg3cDVpSlVVb1ltYWVrWHBp?oc=5,BYD’s 5-Minute Flash Chargers Could Make Tesla Look Slow And Expensive&nbsp;&nbsp;Autoblog,False,Not Adverse,1.0,"Article is a product comparison between BYD and Tesla, which is not a material adverse event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYD is deploying 2.4x more charging power per month than Tesla - Electrek,Electrek,2026-06-10,https://news.google.com/rss/articles/CBMinAFBVV95cUxQMjVENi14SlNQMjFRZHcxNzNoMGp6R0Nxc2ZPbG96WGRtdnpmM05CaGtXZFZCenhYMk44QnZLRDhVSVVEWUZhMllqeG5GRUQ3X0N0d2g3NUJ6Ykg2VkNBbHVOcUxtNm93U2draVVuZlRROHMtbHROVTk0YVBMdTByM3doUE5WQy1GVVpmOHNKczM2WDVWbzQ3c2c3cDE?oc=5,BYD is deploying 2.4x more charging power per month than Tesla&nbsp;&nbsp;Electrek,False,Not Adverse,1.0,"Article compares Tesla to competitor BYD, which is not a material negative event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tesla Vs. Rivian Reliability: It's Not Even Close - Yahoo Autos,Yahoo Autos,2026-06-10,https://news.google.com/rss/articles/CBMikwFBVV95cUxOZm1MWHdfNnNHWjJQMXdpZURsdjYxQ2c5MkdORXFyRDJ3RGs3WDZLUEtRLU14Z3ZuWkdUczB0RXl6ejJsU2ljLUFhX05MYkIzclI2RGROaGkzRE02M2g0cGE4eGQ3OE9zR2diSDY2ZjVpSmk2QUwyd1VVb3ZleUY0RE02R3BHVzdqRjh3RUhfVDkyVVU?oc=5,Tesla Vs. Rivian Reliability: It's Not Even Close&nbsp;&nbsp;Yahoo Autos,False,Not Adverse,1.0,"Article compares Tesla and Rivian reliability, which is a product comparison and not a material negative event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I Drove The Rivian R2, The Model Y's First Real Threat - Motor1.com",Motor1.com,2026-06-09,https://news.google.com/rss/articles/CBMifEFVX3lxTE9adW9tbVpaWHI4M1dWelVsUUlTRWdBR0JGbDV4Y1lQU19FTThDWmVwQzBSOFNZaTc1T3pUZHdrRHppQVU3d2hTY0RVVGJVSEU1elFXWFpCdW5hdFJibnBwYWFTN1pFVjd0UzZsVVphRUhZZ2FESENkNFRMZjM?oc=5,"I Drove The Rivian R2, The Model Y's First Real Threat&nbsp;&nbsp;Motor1.com",False,Not Adverse,1.0,"Article is a product comparison between Rivian R2 and Tesla Model Y, which is not a material negative event.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BYD’s 5-minute EV chargers go live overseas, and they may undercut Tesla Superchargers - Electrek",Electrek,2026-06-09,https://news.google.com/rss/articles/CBMihwFBVV95cUxNWE9JNFIyUktnZUNoWkZfSVQ3SUZ1WHVodjdJMktLRWpTMWFUbmxOLS1DWDlackJmQUFIZng3bGVnbjh5VTZsZ3lkYTJhcVhvenMyNmptUFlxTTk5blV5ZlN0Z3lwOXFMZ3d5Qlk5Tl9RbmVaR3dnbWJMTXVzMklLV3RVS0o2d2c?oc=5,"BYD’s 5-minute EV chargers go live overseas, and they may undercut Tesla Superchargers&nbsp;&nbsp;Electrek",False,Not Adverse,1.0,"Article is a product comparison between BYD and Tesla, which is not considered adverse.",llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026 Tesla Model 3 RWD Is the Efficiency Champ in Our Real-World Range Test - Edmunds,Edmunds,2026-06-08,https://news.google.com/rss/articles/CBMifkFVX3lxTE4yVWl0aUJoOWc4TWwtMUpVSlNrQWJza1J2bDZDSlBVaWR0X3prOGxTVmV1Q1dJTDdudlNsdjlRcjdHTndtRDU4Qk9HM0JjY01zT0taSTJhVFcwU05jYXJxd25NbThjUmRyMVF3RVhQNTc3eUFpVGJyWUNucmUyZw?oc=5,2026 Tesla Model 3 RWD Is the Efficiency Champ in Our Real-World Range Test&nbsp;&nbsp;Edmunds,False,Not Adverse,1.0,Article discusses a positive test result for Tesla Model 3 RWD,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Elon Musk sells the future, not the product. Founders should copy the craft and fear the rest",itbrief_co_nz,2026-06-11,https://itbrief.co.nz/story/elon-musk-sells-the-future-not-the-product-founders-should-copy-the-craft-and-fear-the-rest,"Investors are paying a premium for Elon Musk's narrative, even as Tesla's brand suffers and his empire's risks are shifted onto a single float.",False,Not Adverse,0.9,The article contains opinion/editorial commentary and does not describe a material negative event.,llm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
